2023-04-26 01:00:02.936194,0.00mps,330°,1877/2048,NNW
2023-04-26 01:30:13.401129,0.00mps,340°,1934/2048,NNW
2023-04-26 07:30:14.424328,0.00mps,0°,0/2048,N
2023-04-26 07:45:58.396781,0.00mps,290°,1650/2048,WNW
2023-04-26 08:00:03.554408,0.00mps,290°,1650/2048,WNW
2023-04-26 08:15:09.028719,0.00mps,280°,1593/2048,W
2023-04-26 08:30:13.968459,0.00mps,280°,1593/2048,W
2023-04-26 08:45:19.534495,0.00mps,320°,1820/2048,NW
2023-04-26 09:00:24.550574,0.00mps,320°,1820/2048,NW
2023-04-26 09:15:30.358075,0.00mps,310°,1764/2048,NW
2023-04-26 09:30:35.273871,0.00mps,310°,1764/2048,NW
2023-04-26 09:45:41.017589,0.00mps,300°,1707/2048,WNW
2023-04-26 10:00:46.085720,0.00mps,300°,1707/2048,WNW
2023-04-26 10:15:52.904336,0.00mps,290°,1650/2048,WNW
2023-04-26 10:30:57.958345,0.00mps,290°,1650/2048,WNW
2023-04-26 10:45:02.666947,0.00mps,290°,1650/2048,WNW
2023-04-26 11:00:08.276210,0.00mps,290°,1650/2048,WNW
2023-04-26 11:15:15.754322,0.00mps,270°,1536/2048,W
2023-04-26 11:30:20.516590,0.00mps,270°,1536/2048,W
2023-04-26 11:45:26.243242,0.00mps,280°,1593/2048,W
2023-04-26 12:00:31.223717,0.00mps,280°,1593/2048,W
2023-04-26 12:15:36.889787,0.00mps,270°,1536/2048,W
2023-04-26 12:30:41.797160,0.00mps,270°,1536/2048,W
2023-04-26 12:45:48.278056,0.00mps,260°,1479/2048,W
2023-04-26 13:00:53.001241,0.00mps,260°,1479/2048,W
2023-04-26 13:15:00.958246,0.00mps,270°,1536/2048,W
2023-04-26 13:30:07.646965,0.00mps,270°,1536/2048,W
2023-04-26 13:45:04.057808,5.66mps,290°,1650/2048,WNW
2023-04-26 14:00:10.314989,5.66mps,290°,1650/2048,WNW
2023-04-26 14:15:15.333830,4.12mps,290°,1650/2048,WNW
2023-04-26 14:30:20.061719,4.12mps,290°,1650/2048,WNW
2023-04-26 14:45:25.378229,6.17mps,280°,1593/2048,W
2023-04-26 15:00:30.382537,6.17mps,280°,1593/2048,W
2023-04-26 15:15:35.163294,6.17mps,280°,1593/2048,W
2023-04-26 15:30:39.913951,6.17mps,280°,1593/2048,W
2023-04-26 15:45:45.991397,5.14mps,300°,1707/2048,WNW
2023-04-26 16:00:50.898761,5.14mps,300°,1707/2048,WNW
2023-04-26 16:15:56.793396,6.69mps,280°,1593/2048,W
2023-04-26 16:30:01.338264,6.69mps,280°,1593/2048,W
2023-04-26 16:45:07.196105,7.72mps,280°,1593/2048,W
2023-04-26 17:00:12.249178,7.72mps,280°,1593/2048,W
2023-04-26 17:15:17.219456,7.72mps,280°,1593/2048,W
2023-04-26 17:30:22.006409,7.72mps,280°,1593/2048,W
2023-04-26 17:45:27.175594,8.23mps,280°,1593/2048,W
2023-04-26 18:00:32.106106,8.23mps,280°,1593/2048,W
2023-04-26 18:15:37.104592,7.72mps,280°,1593/2048,W
2023-04-26 18:30:42.083012,7.72mps,280°,1593/2048,W
2023-04-26 18:45:47.371019,6.69mps,290°,1650/2048,WNW
2023-04-26 19:00:52.522049,6.69mps,290°,1650/2048,WNW
2023-04-26 19:15:57.361362,7.72mps,290°,1650/2048,WNW
2023-04-26 19:30:02.066594,7.72mps,290°,1650/2048,WNW
2023-04-26 19:45:08.868217,6.69mps,280°,1593/2048,W
2023-04-26 20:00:14.299669,6.69mps,280°,1593/2048,W
2023-04-26 20:15:19.284234,6.17mps,280°,1593/2048,W
2023-04-26 20:30:25.821114,6.17mps,280°,1593/2048,W
2023-04-26 20:45:30.633531,6.17mps,280°,1593/2048,W
2023-04-26 21:00:35.582212,6.17mps,280°,1593/2048,W
2023-04-26 21:15:40.773482,4.63mps,280°,1593/2048,W
2023-04-26 21:30:45.674405,4.63mps,280°,1593/2048,W
2023-04-26 21:45:50.865665,5.14mps,280°,1593/2048,W
2023-04-26 22:00:56.098577,5.14mps,280°,1593/2048,W
2023-04-26 22:15:28.232387,5.14mps,280°,1593/2048,W
2023-04-26 22:30:35.167491,5.14mps,280°,1593/2048,W
2023-04-26 22:45:55.248135,5.14mps,280°,1593/2048,W
2023-04-26 23:00:43.898440,5.14mps,280°,1593/2048,W
2023-04-26 23:15:49.140408,5.66mps,270°,1536/2048,W
2023-04-26 23:30:54.206229,5.66mps,270°,1536/2048,W
2023-04-26 23:45:01.526418,6.17mps,280°,1593/2048,W
2023-04-27 00:00:06.835859,6.17mps,280°,1593/2048,W
2023-04-27 00:15:18.203773,5.66mps,280°,1593/2048,W
2023-04-27 00:30:23.583122,5.66mps,280°,1593/2048,W
2023-04-27 00:45:28.618961,5.66mps,280°,1593/2048,W
2023-04-27 01:00:33.533605,5.66mps,280°,1593/2048,W
2023-04-27 01:15:38.438660,5.66mps,280°,1593/2048,W
2023-04-27 01:30:43.373123,5.66mps,280°,1593/2048,W
2023-04-27 01:45:40.528656,6.69mps,280°,1593/2048,W
2023-04-27 02:00:06.269786,6.69mps,280°,1593/2048,W
2023-04-27 07:15:11.133545,4.63mps,270°,1536/2048,W
2023-04-27 07:30:32.630688,4.63mps,270°,1536/2048,W
2023-04-27 07:45:37.565427,4.63mps,270°,1536/2048,W
2023-04-27 08:00:08.039483,4.63mps,270°,1536/2048,W
2023-04-27 08:45:14.110831,6.17mps,270°,1536/2048,W
2023-04-27 09:00:19.306056,6.17mps,270°,1536/2048,W
2023-04-28 00:15:06.452181,3.6mps,260°,1479/2048,W
2023-04-28 00:30:11.701282,3.6mps,260°,1479/2048,W
2023-04-28 00:45:21.154226,4.12mps,270°,1536/2048,W
2023-04-28 01:00:26.529812,4.12mps,270°,1536/2048,W
2023-04-28 01:15:31.730196,4.63mps,260°,1479/2048,W
2023-04-28 01:30:37.615464,4.63mps,260°,1479/2048,W
2023-04-28 01:45:10.978715,3.09mps,270°,1536/2048,W
2023-04-28 08:45:37.308203,2.57mps,280°,1593/2048,W
2023-04-28 09:00:58.912908,2.57mps,280°,1593/2048,W
2023-04-28 09:15:04.762981,3.09mps,290°,1650/2048,WNW
2023-04-28 09:30:36.477401,3.09mps,290°,1650/2048,WNW
2023-04-28 09:45:37.575230,3.6mps,290°,1650/2048,WNW
2023-04-28 10:00:44.148218,3.6mps,290°,1650/2048,WNW
2023-04-28 10:15:11.282203,3.09mps,310°,1764/2048,NW
2023-04-28 10:30:16.432298,3.09mps,310°,1764/2048,NW
2023-04-28 10:45:48.143868,3.09mps,300°,1707/2048,WNW
2023-04-28 11:00:11.127883,3.09mps,300°,1707/2048,WNW
2023-04-28 11:15:53.229536,2.06mps,0°,0/2048,N
2023-04-28 11:30:13.982840,2.06mps,0°,0/2048,N
2023-04-28 11:45:39.711486,2.57mps,0°,0/2048,N
2023-04-28 12:00:55.139255,2.57mps,0°,0/2048,N
2023-04-28 12:15:00.123596,2.57mps,0°,0/2048,N
2023-04-28 12:30:05.735282,2.57mps,0°,0/2048,N
2023-04-28 12:45:27.934988,2.57mps,310°,1764/2048,NW
2023-04-28 13:00:33.554475,2.57mps,310°,1764/2048,NW
2023-04-28 13:15:41.609855,3.09mps,260°,1479/2048,W
2023-04-28 13:30:13.073126,3.09mps,260°,1479/2048,W
2023-04-28 13:45:06.538916,3.09mps,0°,0/2048,N
2023-04-28 14:00:41.818753,3.09mps,0°,0/2048,N
2023-04-28 14:15:54.992078,3.6mps,350°,1991/2048,N
2023-04-28 14:45:20.907905,2.57mps,300°,1707/2048,WNW
2023-04-28 15:00:52.906027,2.57mps,300°,1707/2048,WNW
2023-04-28 15:15:59.757970,3.09mps,270°,1536/2048,W
2023-04-28 15:30:21.087983,3.09mps,270°,1536/2048,W
2023-04-28 15:45:50.708698,2.57mps,0°,0/2048,N
2023-04-28 16:00:56.754022,2.57mps,0°,0/2048,N
2023-04-28 16:15:27.968771,3.09mps,290°,1650/2048,WNW
2023-04-28 16:30:04.464143,3.09mps,290°,1650/2048,WNW
2023-04-28 16:45:10.516490,3.6mps,280°,1593/2048,W
2023-04-28 17:00:15.976331,3.6mps,280°,1593/2048,W
2023-04-28 17:15:22.193173,4.12mps,270°,1536/2048,W
2023-04-28 17:30:03.725486,4.12mps,270°,1536/2048,W
2023-04-28 17:45:09.338561,4.12mps,240°,1365/2048,WSW
2023-04-28 18:00:14.591631,4.12mps,240°,1365/2048,WSW
2023-04-28 18:15:20.315843,5.66mps,250°,1422/2048,WSW
2023-04-28 18:30:25.397811,5.66mps,250°,1422/2048,WSW
2023-04-28 18:45:13.223383,5.66mps,270°,1536/2048,W
2023-04-28 19:00:18.421162,5.66mps,270°,1536/2048,W
2023-04-28 19:15:24.447749,4.63mps,280°,1593/2048,W
2023-04-28 19:30:00.669887,4.63mps,280°,1593/2048,W
2023-04-28 19:45:06.535161,5.14mps,290°,1650/2048,WNW
2023-04-28 20:00:11.867301,5.14mps,290°,1650/2048,WNW
2023-04-28 20:15:17.539180,4.12mps,290°,1650/2048,WNW
2023-04-28 20:30:49.100621,4.12mps,290°,1650/2048,WNW
2023-04-28 20:45:54.313643,3.09mps,290°,1650/2048,WNW
2023-04-28 21:00:00.261258,3.09mps,290°,1650/2048,WNW
2023-04-28 21:15:08.960803,2.57mps,360°,2048/2048,N
2023-04-28 21:30:30.846474,2.57mps,360°,2048/2048,N
2023-04-28 21:45:55.185665,1.54mps,10°,57/2048,N
2023-04-28 22:00:00.824074,1.54mps,10°,57/2048,N
2023-04-28 22:15:06.919297,1.03mps,0°,0/2048,N
2023-04-28 22:30:12.390279,1.03mps,0°,0/2048,N
2023-04-28 22:45:33.444312,0mps,0°,0/2048,N
2023-04-28 23:00:38.649176,0mps,0°,0/2048,N
2023-04-28 23:15:49.303362,2.06mps,70°,398/2048,ENE
2023-04-28 23:30:54.407216,2.06mps,70°,398/2048,ENE
2023-04-29 00:00:42.297118,2.06mps,70°,398/2048,ENE
2023-04-29 00:15:49.853927,1.54mps,100°,569/2048,E
2023-04-29 00:30:18.101991,1.54mps,100°,569/2048,E
2023-04-29 00:45:24.900644,2.57mps,120°,683/2048,ESE
2023-04-29 01:00:44.083857,2.57mps,120°,683/2048,ESE
2023-04-29 01:15:51.632101,2.06mps,90°,512/2048,E
2023-04-29 01:30:44.428986,2.06mps,90°,512/2048,E
2023-04-29 01:45:53.334407,2.06mps,80°,455/2048,E
2023-04-29 02:00:15.827731,2.06mps,80°,455/2048,E
2023-04-29 02:15:14.377939,1.03mps,0°,0/2048,N
2023-04-29 02:30:19.497283,1.03mps,0°,0/2048,N
2023-04-29 02:45:41.959358,1.54mps,140°,796/2048,SE
2023-04-29 03:00:47.213782,1.54mps,140°,796/2048,SE
2023-04-29 03:15:52.982132,2.06mps,130°,740/2048,SE
2023-04-29 03:30:27.256252,2.06mps,130°,740/2048,SE
2023-04-29 03:45:43.513302,1.03mps,0°,0/2048,N
2023-04-29 04:00:59.413995,1.03mps,0°,0/2048,N
2023-04-29 04:15:06.721372,1.54mps,150°,853/2048,SSE
2023-04-29 04:30:13.752966,1.54mps,150°,853/2048,SSE
2023-04-29 04:45:43.033606,1.54mps,100°,569/2048,E
2023-04-29 05:00:48.146285,1.54mps,100°,569/2048,E
2023-04-29 05:15:00.351805,2.06mps,40°,228/2048,NE
2023-04-29 05:30:05.753530,2.06mps,40°,228/2048,NE
2023-04-29 05:45:13.239081,0mps,0°,0/2048,N
2023-04-29 06:00:18.492075,0mps,0°,0/2048,N
2023-04-29 06:15:38.966962,1.03mps,0°,0/2048,N
2023-04-29 06:30:44.725725,1.03mps,0°,0/2048,N
2023-04-29 06:45:16.233080,1.03mps,300°,1707/2048,WNW
2023-04-29 07:00:21.643874,1.03mps,300°,1707/2048,WNW
2023-04-29 07:15:58.252643,1.54mps,310°,1764/2048,NW
2023-04-29 07:30:14.566137,1.54mps,310°,1764/2048,NW
2023-04-29 07:45:36.337845,1.03mps,0°,0/2048,N
2023-04-29 08:00:41.511582,1.03mps,0°,0/2048,N
2023-04-29 08:15:53.535140,1.54mps,330°,1877/2048,NNW
